Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Total rejections,Approval rate,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
620bb03d805baa49b31bbfa8,615296fa48e42bbafbd75db1,APPROVED,2022-02-15T13:53:01.674000Z,2022-02-15T14:45:31.539000Z,2022-02-18T14:27:44.421000Z,,3150,RNFS5HP5,60,5,93,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED
620bbf1cbf282be3de1c894d,609c15fd6888b88a23312c42,APPROVED,2022-02-15T14:56:28.838000Z,2022-02-15T16:38:32.215000Z,2022-02-18T14:27:43.690000Z,,6124,RNFS5HP5,243,2,100,27,Male,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,DATA_EXPIRED
620bbf1e774727e67cf453db,604d242c7c866fc358db7d48,APPROVED,2022-02-15T14:56:32.149000Z,2022-02-15T15:53:50.424000Z,2022-02-18T14:27:42.836000Z,,3439,RNFS5HP5,250,5,98,37,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
620bbf1fde7de4fcde6f6c36,60a7b37c58eafd07fa332fd4,APPROVED,2022-02-15T14:56:31.759000Z,2022-02-15T15:35:22.866000Z,2022-02-18T14:27:43.167000Z,,2332,RNFS5HP5,215,1,100,25,Male,White,Italy,Italy,Italy,Italian,Yes,Unemployed (and job seeking)
620bbf20ff980656f1bb8e9e,60e623f3bccb2993e584ce8f,APPROVED,2022-02-15T14:57:19.614000Z,2022-02-15T15:53:19.175000Z,2022-02-18T14:27:25.094000Z,,3360,RNFS5HP5,338,4,99,32,Male,White,Serbia,Netherlands,Croatia,Serbian,No,Full-Time
620bbf2133bcccb2302218b3,5f971b07a3ef980924b8702c,APPROVED,2022-02-15T14:57:02.344000Z,2022-02-15T15:47:49.579000Z,2022-02-18T14:27:31.510000Z,,3048,RNFS5HP5,271,7,97,20,Female,White,Poland,Poland,Poland,Polish,Yes,Unemployed (and job seeking)
620bbf217be9da6e54397b84,60d0f30dee80dc46791c1855,APPROVED,2022-02-15T14:56:38.247000Z,2022-02-15T16:00:07.762000Z,2022-02-18T14:27:46.118000Z,,3810,RNFS5HP5,112,5,97,23,Male,Black,South Africa,South Africa,South Africa,English,Yes,DATA_EXPIRED
620bbf21d10c81f2dfd538cf,5eeb414cfe8e6a02516fc245,APPROVED,2022-02-15T14:56:33.373000Z,2022-02-15T15:51:47.832000Z,2022-02-18T14:27:41.357000Z,,3315,RNFS5HP5,341,5,98,20,Male,White,Italy,Italy,Italy,Italian,Yes,Other
620bbf222c4564c226678686,61656d6ec0df27fa492353ca,APPROVED,2022-02-15T14:56:57.034000Z,2022-02-15T16:09:00.529000Z,2022-02-18T14:28:02.255000Z,,4324,RNFS5HP5,120,1,100,21,Male,White,Poland,Poland,Poland,Polish,Yes,DATA_EXPIRED
620bbf22b6f6bcfb072fafca,6106ac34408681f3b0d07396,APPROVED,2022-02-15T14:58:23.934000Z,2022-02-15T15:45:06.135000Z,2022-02-18T14:27:21.912000Z,,2803,RNFS5HP5,476,1,100,21,Male,White,Austria,Austria,Austria,German,Yes,Part-Time
620bbf22c86dbb8a28f76afa,5f3fd34b1103eb0824007308,APPROVED,2022-02-15T14:56:34.562000Z,2022-02-15T16:31:58.628000Z,2022-02-18T14:27:41.087000Z,,5725,RNFS5HP5,189,3,98,28,Male,White,Italy,Italy,Italy,Italian,DATA_EXPIRED,DATA_EXPIRED
620bbf2300f787b93dd74497,5df2235d5a34251266ea645e,APPROVED,2022-02-15T14:56:35Z,2022-02-15T16:15:30.763000Z,2022-02-18T14:27:39.338000Z,,4736,RNFS5HP5,490,0,100,25,Male,White,Hungary,Hungary,Hungary,Hungarian,No,Unemployed (and job seeking)
620bbf23b797552544650200,5f63a2bc08a0080c790f8eb6,APPROVED,2022-02-15T14:56:49.690000Z,2022-02-15T15:39:50.868000Z,2022-02-18T14:28:05.284000Z,,2582,RNFS5HP5,265,1,100,21,Male,White,Greece,Greece,Greece,Greek,Yes,Part-Time
620bbf23f11f375313add9eb,5c1d4d88508cfd000103dc47,APPROVED,2022-02-15T14:56:35.898000Z,2022-02-15T15:45:23.772000Z,2022-02-18T14:27:38.613000Z,,2928,RNFS5HP5,209,7,96,24,Male,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,DATA_EXPIRED
620bbf24706f1bb174af43f5,613a8c1dfd91666cd4556516,APPROVED,2022-02-15T14:56:36.406000Z,2022-02-15T16:06:31.625000Z,2022-02-18T14:27:37.411000Z,,4196,RNFS5HP5,88,1,100,25,Male,Other,Mexico,Mexico,Mexico,Spanish,DATA_EXPIRED,DATA_EXPIRED
620bbf24769737f0922312bb,5b94fc0fc168f80001104860,APPROVED,2022-02-15T14:56:39.391000Z,2022-02-15T15:38:12.886000Z,2022-02-18T14:27:48.341000Z,,2494,RNFS5HP5,661,11,97,47,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
620bbf24e2b87e94dfb10acb,604cf861ea0db53a75e15d5f,APPROVED,2022-02-15T14:56:36.845000Z,2022-02-15T15:32:40.947000Z,2022-02-18T14:27:36.997000Z,,2165,RNFS5HP5,124,5,95,26,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
620bbf2502e006e0f76b5d9f,5e56c5f6ca5e640720f2cc28,APPROVED,2022-02-15T14:56:39.011000Z,2022-02-15T15:39:00.002000Z,2022-02-18T14:27:48.125000Z,,2541,RNFS5HP5,218,2,100,22,Male,White,Poland,Poland,Poland,Polish,Yes,Unemployed (and job seeking)
620bbf250451a87a4b77517b,6099132b6d152b812fdc911c,APPROVED,2022-02-15T14:57:06.186000Z,2022-02-15T15:40:55.058000Z,2022-02-18T14:27:28.642000Z,,2629,RNFS5HP5,188,1,100,21,Male,Asian,Italy,Italy,Italy,Italian,DATA_EXPIRED,Unemployed (and job seeking)
620bbf2566ed532b8664b681,5c0333c84e1b7b00016a83fd,APPROVED,2022-02-15T14:56:46.810000Z,2022-02-15T15:40:05.257000Z,2022-02-18T14:28:10.469000Z,,2599,RNFS5HP5,479,0,100,24,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Part-Time
620bbf25f2c016b43fef7f20,5cb0d94aff629100171b05b1,APPROVED,2022-02-15T14:56:47.232000Z,2022-02-15T15:41:18.433000Z,2022-02-18T14:28:09.565000Z,,2672,RNFS5HP5,641,7,99,40,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
620bbf263e5d38d4329f9fdf,61648e4f0d2212047ab36b27,APPROVED,2022-02-15T14:56:55.739000Z,2022-02-15T16:03:00.934000Z,2022-02-18T14:28:02.808000Z,,3966,RNFS5HP5,129,4,96,19,Male,Black,South Africa,South Africa,South Africa,English,Yes,DATA_EXPIRED
620bbf269581db7a84f0aef7,60a256f83ef6ada5debc47a9,APPROVED,2022-02-15T14:56:38.924000Z,2022-02-15T15:40:25.650000Z,2022-02-18T14:27:46.921000Z,,2627,RNFS5HP5,355,0,100,30,Male,White,Czech Republic,Czech Republic,Czech Republic,Czech,No,Full-Time
620bbf2697d1ac56924a6771,614ca4f33d21dcd9f473fd09,APPROVED,2022-02-15T14:56:45.797000Z,2022-02-15T15:44:48.384000Z,2022-02-18T14:27:58.117000Z,,2883,RNFS5HP5,246,1,100,30,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Part-Time
620bbf27591f5becceb768a6,614f794ab869891afb59b05a,APPROVED,2022-02-15T14:56:43.474000Z,2022-02-15T15:42:24.240000Z,2022-02-18T14:27:54.996000Z,,2741,RNFS5HP5,53,1,99,48,Male,White,Greece,United Kingdom,Greece,Greek,No,Part-Time
