Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Total rejections,Approval rate,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
620bb076df900c30156b13cd,5eda820057f96267b99b6ef6,APPROVED,2022-02-15T13:53:58.129000Z,2022-02-15T14:44:25.679000Z,2022-02-18T14:26:55.667000Z,,3028,RNFS5HP5,110,1,100,23,Female,White,Poland,Poland,Poland,Polish,No,Full-Time
620bbf364bc4a987a4b44fcd,603408b9f8476a167f6126a4,APPROVED,2022-02-15T14:57:07.628000Z,2022-02-15T15:57:32.192000Z,2022-02-18T14:26:55.765000Z,,3625,RNFS5HP5,188,4,97,20,Male,White,Poland,Poland,Poland,Polish,Yes,DATA_EXPIRED
620bbf3666911f94536074e0,5f26c07138b9f843553d7eba,APPROVED,2022-02-15T14:57:17.729000Z,2022-02-15T15:46:10.807000Z,2022-02-18T14:26:55.865000Z,,2934,RNFS5HP5,122,1,100,24,Female,White,Portugal,Portugal,Portugal,Portuguese,DATA_EXPIRED,Part-Time
620bbf3703e2349a91cb17db,5d97c38dce449e001244dc15,APPROVED,2022-02-15T14:56:58.183000Z,2022-02-15T15:40:34.093000Z,2022-02-18T14:26:55.929000Z,,2616,RNFS5HP5,230,2,100,25,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
620bbf373f94a2c23ed02f5c,6163f49098ee20601873284b,APPROVED,2022-02-15T15:01:47.489000Z,2022-02-15T15:46:29.662000Z,2022-02-18T14:26:56.008000Z,,2683,RNFS5HP5,222,1,100,23,Male,White,Spain,Spain,Spain,Spanish,Yes,Unemployed (and job seeking)
620bbf37531adeb43a03e46d,5e6f7e2dae5e2353ff44eeef,APPROVED,2022-02-15T14:56:58.313000Z,2022-02-15T15:48:46.722000Z,2022-02-18T14:26:56.129000Z,,3109,RNFS5HP5,82,2,99,29,DATA_EXPIRED,DATA_EXPIRED,Ireland,Germany,DATA_EXPIRED,English,DATA_EXPIRED,DATA_EXPIRED
620bbf3807d6b97fcce44933,610ae838f1cfd67e476b7a4d,APPROVED,2022-02-15T14:56:58.738000Z,2022-02-15T15:43:09.535000Z,2022-02-18T14:26:56.195000Z,,2771,RNFS5HP5,186,4,98,21,Male,White,Poland,Poland,Poland,Polish,Yes,Full-Time
620bbf3833bcccb2302218b6,5f84a39b0f8a7b138812f830,APPROVED,2022-02-15T14:56:56.791000Z,2022-02-15T15:49:51.673000Z,2022-02-18T14:26:56.285000Z,,3175,RNFS5HP5,288,1,100,22,Female,White,Poland,Poland,Poland,Polish,Yes,Part-Time
620bbf38499cacc301d50823,60f1b680957836794009b69e,APPROVED,2022-02-15T14:56:58.150000Z,2022-02-15T15:41:33.073000Z,2022-02-18T14:26:56.381000Z,,2675,RNFS5HP5,62,0,100,19,Male,White,United States,Portugal,Portugal,Portuguese,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
620bbf38f825ab07c9c9567f,5c52121d828de8000124aa85,APPROVED,2022-02-15T15:02:44.561000Z,2022-02-15T16:41:01.718000Z,2022-02-18T14:26:56.467000Z,,5898,RNFS5HP5,501,3,100,28,Female,White,Russian Federation,Germany,Germany,German,No,Full-Time
620bbf3996b4406288b3d2a0,60a54940b6b52c0adaeb31d6,APPROVED,2022-02-15T14:57:01.059000Z,2022-02-15T15:44:48.904000Z,2022-02-18T14:26:56.579000Z,,2868,RNFS5HP5,213,1,100,24,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
620bbf39ee930e7e75ed14a4,610700f4f9547087ee11e1ca,APPROVED,2022-02-15T14:57:01.830000Z,2022-02-15T15:42:26.633000Z,2022-02-18T14:26:56.645000Z,,2725,RNFS5HP5,491,7,98,26,Female,White,Germany,Germany,Germany,German,Yes,Part-Time
620bbf3a58bd6895f978218e,615cb913f6db33757d2cbb9b,APPROVED,2022-02-15T14:57:03.140000Z,2022-02-15T15:56:16.607000Z,2022-02-18T14:26:56.737000Z,,3554,RNFS5HP5,129,6,95,26,Male,White,Italy,Italy,Italy,Italian,No,Full-Time
620bbf3a645ee27608e9aad8,610168856591c36253f77248,APPROVED,2022-02-15T14:56:58.549000Z,2022-02-15T15:53:03.651000Z,2022-02-18T14:26:56.833000Z,,3366,RNFS5HP5,243,2,100,26,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
