Submission id,participant_id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Total rejections,Approval rate,age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
62961eb7c02271305172ea9c,613a82ea0caa38af897827fc,APPROVED,2022-05-31T14:04:53.713000Z,2022-05-31T15:25:42.023000Z,2022-06-01T16:07:21.097000Z,,4849,NOCODE,40,0,100,22,Female,Other,Mexico,Mexico,Mexico,Spanish,Yes,DATA_EXPIRED
62961eb8178cfc4dd89f2d1f,6172150f04c545e20b4d5af9,APPROVED,2022-05-31T13:57:28.130000Z,2022-05-31T14:44:36.556000Z,2022-06-01T16:07:21.356000Z,,2829,RNFS5HP5,102,0,100,22,Female,Black,DATA_EXPIRED,South Africa,South Africa,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED
62961eb836215abd84894015,6173043badff9e638ce8ca2d,APPROVED,2022-05-31T13:57:15.913000Z,2022-05-31T14:39:20.233000Z,2022-06-01T16:07:21.585000Z,,2525,NOCODE,304,1,100,21,Female,DATA_EXPIRED,United States,United States,United States,English,Yes,DATA_EXPIRED
62961eca2bb144a488c482fb,6063f65c58167d6efa46e430,APPROVED,2022-05-31T13:57:30.799000Z,2022-05-31T14:49:25.529000Z,2022-06-01T16:07:21.772000Z,,3115,RNFS5HP5,161,1,100,30,Male,Other,Chile,Chile,Chile,Spanish,No,Full-Time
62961ecf47dc85e8afecd7aa,5fafdefb35f42e2c00093fbe,APPROVED,2022-05-31T13:57:39.795000Z,2022-05-31T14:40:23.057000Z,2022-05-31T15:16:25.551000Z,,2564,404 not found code showed,93,0,100,24,Female,White,Czech Republic,Ireland,Czech Republic,Czech,DATA_EXPIRED,Part-Time
62961ed1b9e4e84d153898fb,60b0fef884af1d79927a12d5,APPROVED,2022-05-31T13:57:37.047000Z,2022-05-31T15:21:01.128000Z,2022-06-01T16:07:21.986000Z,,5005,RNFS5HP5,105,2,99,25,Male,White,Hungary,Hungary,Hungary,Hungarian,Yes,Part-Time
62961ef2b01110f5dfbb87ba,603e5aad160c3ee04e07e8d3,APPROVED,2022-05-31T13:58:19.412000Z,2022-05-31T14:51:02.646000Z,2022-05-31T15:12:35.577000Z,,3164,RNFS5HP5,166,3,98,26,Male,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,DATA_EXPIRED
62961f057027e8f8dfcd4f00,62961af12caa56569ae31ed5,APPROVED,2022-05-31T13:58:37.671000Z,2022-05-31T14:44:49.296000Z,2022-06-01T16:07:22.256000Z,,2772,NOCODE,10,0,100,18,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,DATA_EXPIRED
62961f069d27fa0d312b1335,5eeae82d741eed221ec5a245,APPROVED,2022-05-31T13:58:36.206000Z,2022-05-31T14:51:24.172000Z,2022-06-01T16:07:22.914000Z,,3168,NOCODE,291,2,100,20,Female,Asian,Canada,Canada,Canada,Tagalog-Filipino,Yes,Full-Time
62963a21abac9ef28becc65a,60b6c415dbda3236ea22455a,APPROVED,2022-05-31T16:03:31.031000Z,2022-05-31T17:35:56.732000Z,2022-06-01T16:07:23.237000Z,,5546,RNFS5HP5,334,1,100,31,Female,White,Turkey,Spain,Turkey,Turkish,Yes,Part-Time
62963a4d79cde17617bf29fb,5f2d14d99d93bf265393b8ac,APPROVED,2022-05-31T15:55:12.069000Z,2022-05-31T16:36:27.085000Z,2022-06-01T16:07:23.762000Z,,2476,RNFS5HP5,592,4,100,32,Male,White,Italy,Italy,Italy,Italian,No,Full-Time
62963a4dd5ccecccbe91c05e,60f86773e1cc7868421ee9d8,APPROVED,2022-05-31T15:55:04.096000Z,2022-05-31T16:55:32.274000Z,2022-06-01T16:07:24.888000Z,,3629,RNFS5HP5,275,3,99,25,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
62963a4eee359d9c7b624d59,613e18e92e4ed15176362aa2,APPROVED,2022-05-31T15:54:57.280000Z,2022-05-31T16:45:30.114000Z,2022-06-01T16:07:25.642000Z,,3033,RNFS5HP5,275,6,96,19,Male,Mixed,Mexico,Mexico,Mexico,Spanish,Yes,Unemployed (and job seeking)
62963a501f72efca0d520ae3,5ee4273dba332e11f6e28676,APPROVED,2022-05-31T15:56:56.529000Z,2022-05-31T16:53:26.673000Z,2022-06-01T16:07:26.029000Z,,3391,RNFS5HP5,317,0,100,25,Female,Other,Mexico,Mexico,Mexico,Spanish,No,Part-Time
62963a508cc7dc2d9e987359,606c7d27f4f3ae688332a55d,APPROVED,2022-05-31T16:04:08.357000Z,2022-05-31T16:53:03.400000Z,2022-06-01T16:07:26.327000Z,,2936,RNFS5HP5,201,0,100,24,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
62963a5115ae7001e74ee924,5f84dba8c455331b7be18ab2,APPROVED,2022-05-31T15:55:10.978000Z,2022-05-31T16:34:44.402000Z,2022-06-01T16:07:26.553000Z,,2374,RNFS5HP5,271,0,100,26,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
62963a511885214fa3d3530c,611e2a711b31e24b7133813c,APPROVED,2022-05-31T15:55:59.326000Z,2022-05-31T17:16:07.416000Z,2022-06-01T16:07:26.743000Z,,4809,RNFS5HP5,136,3,98,25,Male,Other,South Africa,South Africa,South Africa,Afrikaans,No,Other
62963a512f345c4e074ff63b,614468965cba9b8f734f0d60,APPROVED,2022-05-31T15:54:57.433000Z,2022-05-31T16:39:03.179000Z,2022-06-01T16:07:26.946000Z,,2646,RNFS5HP5,165,2,100,23,Male,Mixed,South Africa,South Africa,South Africa,English,DATA_EXPIRED,Unemployed (and job seeking)
62963a521437285a53e57361,5c7171ddbc6ab00001d7ad90,APPROVED,2022-05-31T15:55:00.992000Z,2022-05-31T17:25:54.505000Z,2022-06-01T16:07:27.143000Z,,5454,RNFS5HP5,82,3,97,26,Female,Mixed,Mexico,Mexico,Mexico,Spanish,No,Full-Time
62963a529904845ddbb5350d,5f7d002d141e4e1c0e84e98e,APPROVED,2022-05-31T15:55:00.250000Z,2022-05-31T16:36:58.747000Z,2022-06-01T16:07:27.351000Z,,2519,RNFS5HP5,444,0,100,44,Female,White,Italy,Italy,Italy,Italian,Yes,Full-Time
62963a52e085c931ca97d194,60ecb41a4a9023db55e9c061,APPROVED,2022-05-31T15:55:53.640000Z,2022-05-31T16:52:27.658000Z,2022-06-01T16:07:27.568000Z,,3395,RNFS5HP5,130,0,100,32,Male,White,Bosnia and Herzegovina,Austria,Croatia,Croatian,No,Part-Time
62963a535d0c051b670dd6d3,615244e111aefca2b42a35f9,APPROVED,2022-05-31T15:55:27.771000Z,2022-05-31T16:45:44.184000Z,2022-06-01T16:07:27.815000Z,,3017,RNFS5HP5,350,1,100,31,Female,Mixed,Egypt,United Kingdom,Egypt,Arabic,No,Unemployed (and job seeking)
62963a538d9f24c3ea84b187,602d29200724e36ae7a9def2,APPROVED,2022-05-31T15:55:03.283000Z,2022-05-31T17:16:33.214000Z,2022-06-01T16:07:29.141000Z,,4890,RNFS5HP5,389,10,98,37,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,South Africa,DATA_EXPIRED,French,DATA_EXPIRED,DATA_EXPIRED
