Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Total rejections,Approval rate,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
61f2a0291d5037d8b3d7a9ca,5b3b903d7bc6be00010ce60e,APPROVED,2022-01-27T13:37:45.970000Z,2022-01-27T14:20:54.531000Z,2022-01-28T12:54:29.853000Z,,2589,RNFS5HP5,151,1,100,25,Male,White,Estonia,Estonia,Estonia,Estonian,Yes,Part-Time
61f2b913e36d1e54425dfb93,606781fa7584b511b845d52c,APPROVED,2022-01-27T15:28:21.013000Z,2022-01-27T16:13:02.817000Z,2022-01-28T12:54:29.966000Z,,2682,RNFS5HP5,263,0,100,23,Male,White,Portugal,Portugal,Portugal,Portuguese,DATA_EXPIRED,DATA_EXPIRED
61f2b9140d8d1d56a833af9a,615373f88839471e0ab77399,APPROVED,2022-01-27T15:25:21.468000Z,2022-01-27T16:40:11.997000Z,2022-01-28T12:54:30.090000Z,,4491,RNFS5HP5,158,2,100,19,Male,White,Hungary,Hungary,Hungary,Hungarian,DATA_EXPIRED,DATA_EXPIRED
61f2b9151bea09b3edac7380,60da04163492016cfd8eafd7,APPROVED,2022-01-27T15:24:11.906000Z,2022-01-27T16:05:43.570000Z,2022-01-28T12:54:30.186000Z,,2492,RNFS5HP5,27,0,100,23,Female,White,Poland,Poland,Poland,Polish,Yes,Part-Time
61f2b91569c9d95b1f5996e5,60d610bfc2306d6ae1770850,APPROVED,2022-01-27T15:24:09.260000Z,2022-01-27T16:27:12.010000Z,2022-01-28T12:54:30.274000Z,,3783,RNFS5HP5,129,0,100,37,Male,White,Hungary,Hungary,Hungary,Hungarian,No,Unemployed (and job seeking)
61f2b91646b0e35a2f0a344f,617065189300567757e337a8,APPROVED,2022-01-27T15:25:03.291000Z,2022-01-27T16:13:15.123000Z,2022-01-28T12:54:30.382000Z,,2892,RNFS5HP5,209,1,100,20,Male,White,Poland,Poland,Poland,Polish,Yes,Unemployed (and job seeking)
61f2b9167559d51635e1ed96,613b76ff18cf7442ab95567c,APPROVED,2022-01-27T15:24:19.917000Z,2022-01-27T16:08:49.739000Z,2022-01-28T12:54:30.477000Z,,2670,RNFS5HP5,153,4,98,26,Female,Other,Mexico,Mexico,Mexico,Spanish,No,Full-Time
61f2b916b7e6a870e44cc010,616c3f3a378cb38f3f7ecac3,APPROVED,2022-01-27T15:24:18.543000Z,2022-01-27T16:24:28.210000Z,2022-01-28T12:54:30.571000Z,,3610,RNFS5HP5,337,12,95,53,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
61f2b9174a73a321716648f1,5e92f26b444572122fdfe44d,APPROVED,2022-01-27T15:24:07.414000Z,2022-01-27T16:15:54.345000Z,2022-01-28T12:54:30.676000Z,,3107,RNFS5HP5,533,0,100,35,Male,White,Portugal,Portugal,Portugal,English,No,Full-Time
61f2b9174d45d26e8197eae1,5c53ef4f26a39500019719b4,APPROVED,2022-01-27T15:24:07.973000Z,2022-01-27T16:15:40.950000Z,2022-01-28T12:54:30.782000Z,,3093,RNFS5HP5,465,7,98,29,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
61f2b917d0ae5ec42c68cdaa,616823f498b414afa4fb4c71,APPROVED,2022-01-27T15:24:11.259000Z,2022-01-27T16:05:27.589000Z,2022-01-28T12:54:30.890000Z,,2477,RNFS5HP5,121,2,100,19,Male,White,Hungary,Hungary,Hungary,Hungarian,Yes,DATA_EXPIRED
61f2b9180d409b8cb634e45f,61215dfd964b036be83dd813,APPROVED,2022-01-27T15:24:08.892000Z,2022-01-27T16:05:39.021000Z,2022-01-28T12:54:30.997000Z,,2491,RNFS5HP5,151,2,98,21,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Due to start a new job within the next month
61f2b9180fe9ff0b9b24b0fe,6001ba7b44049f0dbeff2fea,APPROVED,2022-01-27T15:24:08.462000Z,2022-01-27T16:12:59.991000Z,2022-01-28T12:54:31.105000Z,,2932,RNFS5HP5,155,0,100,22,Male,White,Italy,Italy,Italy,Italian,DATA_EXPIRED,DATA_EXPIRED
61f2b918575ab976b096f044,61516f157092b66018472a2f,APPROVED,2022-01-27T15:24:29.152000Z,2022-01-27T16:00:20.967000Z,2022-01-28T12:54:31.204000Z,,2152,RNFS5HP5,172,2,100,26,Male,White,Spain,Spain,Spain,Basque,DATA_EXPIRED,Full-Time
61f2b9188ba66d063428fa42,5e66ff8266355b488818b546,APPROVED,2022-01-27T15:24:08.674000Z,2022-01-27T16:11:33.714000Z,2022-01-28T12:54:31.317000Z,,2846,RNFS5HP5,121,1,100,22,Male,White,Poland,Poland,Poland,Polish,Yes,Other
61f2b9194eeae5a514695987,60d9be933697c81f6023f7f1,APPROVED,2022-01-27T15:24:34.401000Z,2022-01-27T16:17:20.663000Z,2022-01-28T12:54:31.440000Z,,3167,RNFS5HP5,434,3,100,25,Female,Black,DATA_EXPIRED,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
61f2b91952b5c1b5d7462006,5d6ee372f52ee2001b314d3a,APPROVED,2022-01-27T15:24:09.759000Z,2022-01-27T16:08:39.352000Z,2022-01-28T12:54:31.578000Z,,2670,RNFS5HP5,727,0,100,34,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
61f2b9198235d62941d3f67d,601b933f4cfca955ed242609,APPROVED,2022-01-27T15:24:09.412000Z,2022-01-27T16:10:35.939000Z,2022-01-28T12:54:31.683000Z,,2787,RNFS5HP5,99,0,100,31,Male,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,DATA_EXPIRED
61f2b91a0d8d1d56a833af9c,5f9dd5ecf197ec352831caf8,APPROVED,2022-01-27T15:24:10.184000Z,2022-01-27T16:15:55.760000Z,2022-01-28T12:54:31.773000Z,,3106,RNFS5HP5,421,0,100,29,Male,White,Italy,Italy,Italy,Italian,Yes,Other
61f2b91a9795810f0dd306c0,6081728972120aa7f9685791,APPROVED,2022-01-27T15:24:40.686000Z,2022-01-27T16:15:39.223000Z,2022-01-28T12:54:31.877000Z,,3059,RNFS5HP5,371,0,100,40,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
61f2b91afa0efba5cf6749a7,616835e47ccb6402e38ec1f8,APPROVED,2022-01-27T15:26:16.319000Z,2022-01-27T16:37:12.259000Z,2022-01-28T12:54:32.002000Z,,4256,RNFS5HP5,162,0,100,25,Female,White,Italy,Italy,Italy,Italian,Yes,Unemployed (and job seeking)
61f2b91b156e6288dbc42b9e,61405a0426b9171448bc7de7,APPROVED,2022-01-27T15:24:26.030000Z,2022-01-27T16:16:09.921000Z,2022-01-28T12:54:32.099000Z,,3104,RNFS5HP5,200,8,96,23,Female,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
61f2b91b4d82ab7cdded7d0c,60e568d9f1dadc0430936bd9,APPROVED,2022-01-27T15:24:11.362000Z,2022-01-27T16:12:38.190000Z,2022-01-28T12:54:32.194000Z,,2907,RNFS5HP5,221,3,99,23,Male,White,Italy,Italy,Italy,Italian,No,DATA_EXPIRED
61f2b91ba08e6c640e0fe8ba,601f101a125868444e3bd3bf,APPROVED,2022-01-27T15:24:11.890000Z,2022-01-27T16:02:14.403000Z,2022-01-28T12:54:32.304000Z,,2283,RNFS5HP5,286,5,96,26,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
61f2b91bbf73a16caceb5284,613ca4d59924d83b483b349d,APPROVED,2022-01-27T15:24:11.131000Z,2022-01-27T16:06:21.653000Z,2022-01-28T12:54:32.420000Z,,2531,RNFS5HP5,135,1,100,23,Male,White,Poland,Poland,Poland,Polish,Yes,Other
61f2b91c32779756310515f6,6130a8f6d9ddba965fd2f5f5,APPROVED,2022-01-27T15:25:08.548000Z,2022-01-27T16:36:32.697000Z,2022-01-28T12:54:32.523000Z,,4285,RNFS5HP5,101,2,99,43,Female,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
61f2b91c6f407f1d1aa39761,61238d2e3074dad0861e0efa,APPROVED,2022-01-27T15:24:12.324000Z,2022-01-27T16:38:55.439000Z,2022-01-28T12:54:32.610000Z,,4484,RNFS5HP5,181,0,100,33,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
61f2b91ceb28a44240f37d1f,5ee78cdd0103130133fdb204,APPROVED,2022-01-27T15:24:12.567000Z,2022-01-27T16:25:00.807000Z,2022-01-28T12:54:32.713000Z,,3649,RNFS5HP5,442,1,100,26,Male,White,Italy,Italy,Italy,Italian,Yes,Other
61f2b91d39c7e6c0ca0b0a2c,5be1f07a16fe17000106bcd1,APPROVED,2022-01-27T15:24:13.977000Z,2022-01-27T16:04:17.194000Z,2022-01-28T12:54:32.811000Z,,2404,RNFS5HP5,136,1,100,19,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
61f2b91d574b991a5ea3e8f5,613a69d8ed1c11f70b3d37c7,APPROVED,2022-01-27T15:27:41.470000Z,2022-01-27T16:19:13.159000Z,2022-01-28T12:54:32.931000Z,,3092,RNFS5HP5,208,2,99,32,Male,Mixed,Mexico,Mexico,Mexico,Spanish,No,Full-Time
61f2b91d84e1c994620378df,6095271790f34f6d374ac3e3,APPROVED,2022-01-27T15:24:13.048000Z,2022-01-27T16:00:59.712000Z,2022-01-28T12:54:33.055000Z,,2207,RNFS5HP5,136,4,98,22,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
61f2b91e3f4cf7a9bf095e08,5da635f243993e00130216f6,APPROVED,2022-01-27T15:24:33.563000Z,2022-01-27T16:06:46.646000Z,2022-01-28T12:54:33.173000Z,,2534,RNFS5HP5,119,4,96,22,Male,White,Greece,Greece,Greece,Greek,Yes,Due to start a new job within the next month
61f2b91eae8b2a46f4d291e4,5f3be95dfe449098eebe04e1,APPROVED,2022-01-27T15:24:14.820000Z,2022-01-27T16:08:29.977000Z,2022-01-28T12:54:33.266000Z,,2656,RNFS5HP5,273,2,100,20,Male,White,Spain,Spain,Spain,Spanish,Yes,Other
61f2b91f1a108751ac928365,60f47600a931759ef3d1a505,APPROVED,2022-01-27T15:24:15.062000Z,2022-01-27T16:13:21.257000Z,2022-01-28T12:54:33.371000Z,,2947,RNFS5HP5,48,1,99,19,Male,White,Portugal,Portugal,Portugal,Portuguese,DATA_EXPIRED,DATA_EXPIRED
61f2b91f7e8fc1a5969f0638,5ff74b0fbb5f423b64e332d9,APPROVED,2022-01-27T15:24:17.996000Z,2022-01-27T16:15:22.881000Z,2022-01-28T12:54:33.501000Z,,3065,RNFS5HP5,614,8,97,62,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
61f2b91fae8b2a46f4d291e6,5fc9ec3d0990d4501dfd7e05,APPROVED,2022-01-27T15:28:57.085000Z,2022-01-27T16:24:22.859000Z,2022-01-28T12:54:33.628000Z,,3326,RNFS5HP5,197,0,100,31,Male,White,Greece,Greece,Greece,Greek,No,Full-Time
61f2b9200f0881efd3b23938,5e03fdb2ac9e16edc91d0108,APPROVED,2022-01-27T15:24:16.357000Z,2022-01-27T16:18:49.991000Z,2022-01-28T12:54:33.744000Z,,3274,RNFS5HP5,252,2,100,36,Male,White,Spain,Spain,Spain,Spanish,No,Full-Time
61f2b9209d5b689d0bd3f50e,5f1b2fe23bcef80c38d2a362,APPROVED,2022-01-27T15:28:05.916000Z,2022-01-27T16:37:13.435000Z,2022-01-28T12:54:33.846000Z,,4148,RNFS5HP5,408,0,100,25,Female,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,Part-Time
61f2b920a412b041b020751a,5fe23b4143c578dbb9d0cde7,APPROVED,2022-01-27T15:24:32.511000Z,2022-01-27T16:13:08.965000Z,2022-01-28T12:54:33.975000Z,,2917,RNFS5HP5,132,1,100,38,Male,White,Italy,Italy,Italy,Italian,No,Part-Time
61f2b920bd1dcabb0512fa7e,5fa154fd4cbe97227182aff7,APPROVED,2022-01-27T15:24:16.095000Z,2022-01-27T16:19:04.232000Z,2022-01-28T12:54:34.107000Z,,3289,RNFS5HP5,215,0,100,30,Male,Mixed,South Africa,South Africa,South Africa,English,No,Unemployed (and job seeking)
61f2b9211a108751ac928366,5f25d8172b91b02b72277187,APPROVED,2022-01-27T15:24:17.965000Z,2022-01-27T16:17:08.197000Z,2022-01-28T12:54:34.219000Z,,3171,RNFS5HP5,259,0,100,22,Male,White,Poland,Poland,Poland,Polish,Yes,Other
61f2b92169c9d95b1f5996e9,5f5ba8a47c4b0a3178d86c9b,APPROVED,2022-01-27T15:24:26.360000Z,2022-01-27T16:16:51.741000Z,2022-01-28T12:54:34.358000Z,,3146,RNFS5HP5,137,1,100,20,Male,Black,Ghana,South Africa,Ghana,Twi,Yes,Other
61f2b92171fd8c96ca4aaf5f,5fd099c9690e9a12a2bfecda,APPROVED,2022-01-27T15:24:17.245000Z,2022-01-27T16:17:53.649000Z,2022-01-28T12:54:34.482000Z,,3217,RNFS5HP5,127,0,100,33,Male,White,Italy,Italy,Italy,Italian,No,Unemployed (and job seeking)
61f2b921b7ac168548f9590b,5f58c43de85564044e06775f,APPROVED,2022-01-27T15:24:17.479000Z,2022-01-27T16:13:35.789000Z,2022-01-28T12:54:34.575000Z,,2959,RNFS5HP5,704,9,98,60,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
61f2b922ae8b2a46f4d291e8,60550283408ce5cfd676a0af,APPROVED,2022-01-27T15:24:18.580000Z,2022-01-27T16:03:08.957000Z,2022-01-28T12:54:34.678000Z,,2331,RNFS5HP5,92,0,100,20,Male,White,Poland,Poland,Poland,Polish,Yes,DATA_EXPIRED
61f2b922feff698f6ef6df4e,61485d798b28686872fb9c7b,APPROVED,2022-01-27T15:24:18.236000Z,2022-01-27T16:32:09.222000Z,2022-01-28T12:54:34.800000Z,,4071,RNFS5HP5,270,1,100,29,Female,White,Spain,Spain,Spain,Spanish,Yes,Full-Time
61f2b923a26d60c9bc2424ad,6164aff4702877334235fff6,APPROVED,2022-01-27T15:24:19.831000Z,2022-01-27T16:12:39.738000Z,2022-01-28T12:54:34.934000Z,,2900,RNFS5HP5,27,0,100,27,Female,White,Latvia,Latvia,Latvia,Russian,No,DATA_EXPIRED
61f2b9249795810f0dd306c3,6050c7a530b3d29d9b397096,APPROVED,2022-01-27T15:24:20.131000Z,2022-01-27T16:03:30.093000Z,2022-01-28T12:54:35.046000Z,,2350,RNFS5HP5,61,1,100,24,Male,White,Estonia,Estonia,Estonia,Estonian,DATA_EXPIRED,Full-Time
61f2b92b2ef0d76c0e5956bb,5e83c34c4a17000f09e83308,APPROVED,2022-01-27T15:24:27.967000Z,2022-01-27T16:06:17.880000Z,2022-01-28T12:54:35.143000Z,,2510,RNFS5HP5,113,1,100,24,Female,White,Poland,Poland,Poland,Polish,No,Full-Time
61f2b92cb823ee614575a7f2,5e9cc45854f95c07cb4f3020,APPROVED,2022-01-27T15:24:34.329000Z,2022-01-27T16:12:11.137000Z,2022-01-28T12:54:35.266000Z,,2857,RNFS5HP5,203,0,100,44,Female,Mixed,"Venezuela, Bolivarian Republic of",Spain,Italy,Spanish,No,DATA_EXPIRED
