subject,exp_num,complete,block,less_cues,score,cond
1,1.2,0,0,0,0,0.1
2,1.2,0,0,0,0.285714285714286,0.1
3,1.2,0,0,0,0.0714285714285714,0.1
4,1.2,0,0,0,0.642857142857143,0.1
5,1.2,0,0,0,0.285714285714286,0.1
6,1.2,0,0,0,0.0714285714285714,0.1
7,1.2,0,0,0,0.142857142857143,0.1
8,1.2,0,0,0,0.428571428571429,0.1
9,1.2,0,0,0,0.5,0.1
10,1.2,0,0,0,0.571428571428571,0.1
11,1.2,0,0,0,0.214285714285714,0.1
12,1.2,0,0,0,0.428571428571429,0.1
13,1.2,0,0,0,0.785714285714286,0.1
14,1.2,0,0,0,0.285714285714286,0.1
15,1.2,0,0,0,0.5,0.1
16,1.2,0,0,0,0.142857142857143,0.1
17,1.2,0,0,0,0.214285714285714,0.1
18,1.2,0,0,0,0.642857142857143,0.1
19,1.2,0,0,0,0.428571428571429,0.1
20,1.2,0,0,0,0.428571428571429,0.1
21,1.2,0,0,0,0.214285714285714,0.1
22,1.2,0,0,0,0.0714285714285714,0.1
23,1.2,0,0,0,0.428571428571429,0.1
24,1.2,0,0,0,0,0.1
25,1.2,0,0,0,0,0.1
26,1.2,0,0,0,0.0714285714285714,0.1
27,1.2,0,0,0,0.428571428571429,0.1
28,1.2,0,0,0,0.0714285714285714,0.1
29,1.2,0,0,0,0,0.1
30,1.2,0,0,0,0.571428571428571,0.1
31,1.2,0,0,0,0.214285714285714,0.1
32,1.2,0,0,0,0.142857142857143,0.1
33,1.2,0,0,0,0.214285714285714,0.1
34,1.2,0,0,0,0.357142857142857,0.1
35,1.2,0,0,0,0.0714285714285714,0.1
36,1.2,0,0,0,0.142857142857143,0.1
37,1.2,0,0,0,0.142857142857143,0.1
38,1.2,0,0,0,0.214285714285714,0.1
39,1.2,0,0,0,0,0.1
40,1.2,0,0,0,0,0.1
41,1.2,0,0,0,0.214285714285714,0.1
42,1.2,0,0,0,0.0714285714285714,0.1
43,1.2,0,0,0,0.142857142857143,0.1
44,1.2,0,0,0,0.285714285714286,0.1
45,1.2,0,0,0,0.214285714285714,0.1
46,1.2,0,0,0,0.428571428571429,0.1
47,1.2,0,0,0,0,0.1
48,1.2,0,0,0,0.0714285714285714,0.1
49,1.2,0,0,0,0.5,0.1
50,1.2,0,0,0,0.142857142857143,0.1
51,1.2,0,0,0,0.428571428571429,0.1
52,1.2,0,0,0,0.214285714285714,0.1
53,1.2,0,0,0,0.142857142857143,0.1
54,1.2,0,0,0,0.0714285714285714,0.1
55,1.2,0,0,0,0,0.1
56,1.2,0,0,0,0.785714285714286,0.1
57,1.2,0,0,0,0.214285714285714,0.1
58,1.2,0,0,0,0.285714285714286,0.1
59,1.2,0,0,0,0.785714285714286,0.1
60,1.2,0,0,0,0.142857142857143,0.1
61,1.2,0,0,0,0.357142857142857,0.1
62,1.2,0,0,0,0.0714285714285714,0.1
63,1.2,0,0,0,0.142857142857143,0.1
64,1.2,0,0,0,0.142857142857143,0.1
65,1.2,0,0,0,0.5,0.1
66,1.2,0,0,0,0,0.1
67,1.2,0,0,0,0.5,0.1
68,1.2,0,0,0,0.357142857142857,0.1
69,1.2,0,0,0,0,0.1
70,1.2,0,0,0,0.214285714285714,0.1
