subject,exp_num,RT,modality
1,3.1,NaN,H
1,3.1,1391,LE
2,3.1,1684,H
2,3.1,1920,LE
3,3.1,904.5,H
3,3.1,1187,LE
4,3.1,1189,H
4,3.1,1153,LE
5,3.1,1320,H
5,3.1,1763.5,LE
6,3.1,897.5,H
6,3.1,981,LE
7,3.1,2955,H
7,3.1,3609,LE
8,3.1,947,H
8,3.1,1295.5,LE
9,3.1,1497.5,H
9,3.1,1516.5,LE
10,3.1,1099,H
10,3.1,1519.5,LE
11,3.1,784.5,H
11,3.1,845,LE
12,3.1,1093,H
12,3.1,2452,LE
13,3.1,1603,H
13,3.1,1073,LE
14,3.1,1115.5,H
14,3.1,1469,LE
15,3.1,988,H
15,3.1,1021,LE
16,3.1,1175,H
16,3.1,1155.5,LE
17,3.1,1190.5,H
17,3.1,1307.5,LE
18,3.1,1177.5,H
18,3.1,1236.5,LE
19,3.1,2338,H
19,3.1,1702,LE
20,3.1,1184,H
20,3.1,1284.5,LE
21,3.1,967,H
21,3.1,1407,LE
22,3.1,933.5,H
22,3.1,762,LE
23,3.1,739,H
23,3.1,480,LE
24,3.1,1307,H
24,3.1,1874.5,LE
25,3.1,1135.5,H
25,3.1,1189,LE
26,3.1,1527,H
26,3.1,1390,LE
27,3.1,1074,H
27,3.1,1271,LE
28,3.1,889,H
28,3.1,1340.5,LE
29,3.1,2017.5,H
29,3.1,1461,LE
30,3.1,4152,H
30,3.1,1984,LE
31,3.1,1439,H
31,3.1,1113,LE
32,3.1,2668,H
32,3.1,1280,LE
33,3.1,2079,H
33,3.1,2728,LE
34,3.1,1791,H
34,3.1,1506.5,LE
35,3.1,1229,H
35,3.1,1149,LE
36,3.1,830,H
36,3.1,NaN,LE
37,3.1,1301.5,H
37,3.1,1309.5,LE
38,3.1,1136,H
38,3.1,1081.5,LE
39,3.1,2223,H
39,3.1,1011.5,LE
40,3.1,NaN,H
40,3.1,1703.5,LE
41,3.1,859,H
41,3.1,986,LE
42,3.1,1182,H
42,3.1,1091,LE
43,3.1,1056,H
43,3.1,1569,LE
44,3.1,1790.5,H
44,3.1,2125.5,LE
45,3.1,753,H
45,3.1,909.5,LE
46,3.1,1829,H
46,3.1,1643.5,LE
47,3.1,2615,H
47,3.1,1720,LE
48,3.1,3166,H
48,3.1,2187,LE
49,3.1,1495,H
49,3.1,2086,LE
50,3.1,1424,H
50,3.1,NaN,LE
51,3.1,1121,H
51,3.1,NaN,LE
52,3.1,1942.5,H
52,3.1,1615.5,LE
53,3.1,1253,H
53,3.1,1200,LE
54,3.1,912.5,H
54,3.1,1032,LE
55,3.1,1787.5,H
55,3.1,2571,LE
56,3.1,1018,H
56,3.1,2195,LE
57,3.1,1375,H
57,3.1,1140,LE
58,3.1,1346,H
58,3.1,NaN,LE
59,3.1,1996,H
59,3.1,1419,LE
60,3.1,1441,H
60,3.1,1704,LE
61,3.1,1390,H
61,3.1,1190,LE
62,3.1,2256,H
62,3.1,1118.5,LE
63,3.1,2202,H
63,3.1,1832,LE
64,3.1,894,H
64,3.1,710,LE
65,3.1,801.5,H
65,3.1,723,LE
66,3.1,1070,H
66,3.1,527,LE
67,3.1,1446,H
67,3.1,1076,LE
68,3.1,1351,H
68,3.1,1186.5,LE
69,3.1,1451,H
69,3.1,1814,LE
70,3.1,1131,H
70,3.1,903,LE
71,3.1,910,H
71,3.1,974,LE
72,3.1,1650,H
72,3.1,1643,LE
73,3.1,1167,H
73,3.1,1011,LE
74,3.1,962,H
74,3.1,1555.5,LE
75,3.1,721,H
75,3.1,619,LE
76,3.1,777,H
76,3.1,950,LE
77,3.1,1401,H
77,3.1,1193,LE
78,3.1,1001.5,H
78,3.1,1191,LE
79,3.1,1028,H
79,3.1,596,LE
80,3.1,1135,H
80,3.1,1585,LE
