subject,exp_num,slope,modality
1,1,0.772107842990149,EE
2,1,0.641756955792829,EE
3,1,0.671358472792347,EE
4,1,0.870242305288165,EE
5,1,0.581593219174256,EE
6,1,0.825718025233964,EE
7,1,0.56287028663305,EE
8,1,0.506603703736529,EE
9,1,0.511251874287304,EE
10,1,-0.614784929418511,EE
11,1,0.539215750757609,EE
12,1,0.0129345194944305,EE
13,1,0.933071916099465,EE
14,1,0.466503831314547,EE
15,1,-0.245081384378004,EE
16,1,0.661013771755931,EE
17,1,0.691589914865023,EE
18,1,0.0981572523166967,EE
19,1,0.889731150659154,EE
20,1,0.31815553823197,EE
21,1,1.23592905704862,EE
22,1,0.371907599673425,EE
23,1,0.54839992762769,EE
24,1,0.696482562650451,EE
25,1,0.935114974735228,EE
26,1,0.463915244179393,EE
27,1,0.498410501301806,EE
28,1,0.628429028441563,EE
29,1,0.717193649103328,EE
30,1,0.734656490899763,EE
31,1,-0.0144372533652062,EE
32,1,0.718870267078636,EE
33,1,0.975800226542461,EE
34,1,0.894542430215577,EE
35,1,1.02653353781251,EE
36,1,0.895525849451309,EE
37,1,0.531488040923457,EE
38,1,0.613891488348205,EE
39,1,0.780910714992302,EE
40,1,0.786663130740001,EE
41,1,0.934889955986006,EE
42,1,0.555125068075821,EE
43,1,0.790268794896988,EE
44,1,0.716162586206371,EE
45,1,0.532356862244189,EE
46,1,0.983523748005205,EE
47,1,0.522823032333937,EE
48,1,0.765434508355526,EE
49,1,0.578864966189377,EE
50,1,0.963822105888875,EE
51,1,0.637520382409417,EE
52,1,0.925370170787289,EE
53,1,0.72628685077552,EE
54,1,0.932060674740635,EE
55,1,0.591085860868918,EE
56,1,0.317531814132508,EE
57,1,0.530780845457928,EE
58,1,0.915426529757989,EE
59,1,0.243351167845997,EE
60,1,1.07527209087063,EE
61,1,0.597997394185688,EE
62,1,0.668271724475547,EE
63,1,0.403588424285009,EE
64,1,0.762495997926081,EE
65,1,-0.128516117435649,EE
66,1,0.656888685764104,EE
67,1,-0.0219600196127333,EE
68,1,0.274676475080352,EE
69,1,0.966778153553099,EE
70,1,0.827698218010939,EE
71,1,0.68445699265049,EE
72,1,0.509246702875865,EE
73,1,0.824375913408844,EE
74,1,0.830545515206194,EE
75,1,0.939599322239404,EE
76,1,0.827892234186003,EE
77,1,0.816997037987106,EE
78,1,1.05026926442984,EE
79,1,0.407076710855805,EE
80,1,0.950420118185816,EE
81,1,0.785974048549968,EE
82,1,0.667162009628574,EE
1,1,0.600834126025466,ES
2,1,0.730281996333182,ES
3,1,0.0833344280165255,ES
4,1,0.589444241126518,ES
5,1,0.100001321966376,ES
6,1,0.683333498346638,ES
7,1,0.114461410785635,ES
8,1,-0.0666302814845254,ES
9,1,0.608250469284114,ES
10,1,0.0837914014532487,ES
11,1,0.335701646253277,ES
12,1,0.0338396389491974,ES
13,1,0.48857349539132,ES
14,1,0.300000042831288,ES
15,1,0.0507134084795554,ES
16,1,0.147664165051333,ES
17,1,0.855325192228295,ES
18,1,-0.067299758205117,ES
19,1,0.569367992321844,ES
20,1,0.326638456758558,ES
21,1,0.46646384455815,ES
22,1,0.566913149212452,ES
23,1,0.417154461732822,ES
24,1,-0.0166668921491208,ES
25,1,0.616666772351583,ES
26,1,0.383671531767713,ES
27,1,1.28383480336584,ES
28,1,0.250006347727941,ES
29,1,0.633462679821982,ES
30,1,0.467067647257041,ES
31,1,0.206798626641201,ES
32,1,0.573876177739563,ES
33,1,0.886803918720914,ES
34,1,0.47807483981032,ES
35,1,0.972864264804796,ES
