subject,exp_num,RT,modality
1,3.1,1465,e
1,3.1,1617,d
1,3.1,1339,EE
2,3.1,1532.5,e
2,3.1,1646,d
2,3.1,1947.5,EE
3,3.1,883.5,e
3,3.1,952,d
3,3.1,1034,EE
4,3.1,1169,e
4,3.1,1095,d
4,3.1,1190,EE
5,3.1,926,e
5,3.1,1244,d
5,3.1,1282,EE
6,3.1,938,e
6,3.1,880,d
6,3.1,908,EE
7,3.1,2336,e
7,3.1,1903,d
7,3.1,2527,EE
8,3.1,1012.5,e
8,3.1,836.5,d
8,3.1,679.5,EE
9,3.1,1257.5,e
9,3.1,1404.5,d
9,3.1,1425.5,EE
10,3.1,1196,e
10,3.1,1107,d
10,3.1,987.5,EE
11,3.1,851,e
11,3.1,816,d
11,3.1,929.5,EE
12,3.1,1075,e
12,3.1,1130,d
12,3.1,1467.5,EE
13,3.1,1185,e
13,3.1,970,d
13,3.1,1259.5,EE
14,3.1,1147,e
14,3.1,1192,d
14,3.1,1388,EE
15,3.1,1229,e
15,3.1,915,d
15,3.1,896,EE
16,3.1,1041.5,e
16,3.1,1060,d
16,3.1,1229,EE
17,3.1,1025.5,e
17,3.1,933.5,d
17,3.1,1010,EE
18,3.1,1182,e
18,3.1,1012,d
18,3.1,1056.5,EE
19,3.1,1555.5,e
19,3.1,1537.5,d
19,3.1,1740.5,EE
20,3.1,1191,e
20,3.1,1165,d
20,3.1,1187,EE
21,3.1,1104,e
21,3.1,915,d
21,3.1,991,EE
22,3.1,821,e
22,3.1,692,d
22,3.1,823,EE
23,3.1,893,e
23,3.1,737,d
23,3.1,607.5,EE
24,3.1,1730,e
24,3.1,929,d
24,3.1,2901,EE
25,3.1,1116,e
25,3.1,1095,d
25,3.1,1080,EE
26,3.1,1362,e
26,3.1,1439,d
26,3.1,1426.5,EE
27,3.1,1197,e
27,3.1,929,d
27,3.1,1176.5,EE
28,3.1,867,e
28,3.1,915,d
28,3.1,869.5,EE
29,3.1,1375,e
29,3.1,1137,d
29,3.1,3004.5,EE
30,3.1,1569,e
30,3.1,1269,d
30,3.1,1431,EE
31,3.1,929,e
31,3.1,944,d
31,3.1,1072,EE
32,3.1,1097.5,e
32,3.1,1273,d
32,3.1,1451.5,EE
33,3.1,1396,e
33,3.1,1161,d
33,3.1,2652.5,EE
34,3.1,1133,e
34,3.1,1166,d
34,3.1,1623.5,EE
35,3.1,1284,e
35,3.1,1067,d
35,3.1,1041,EE
36,3.1,918,e
36,3.1,627,d
36,3.1,598,EE
37,3.1,1233,e
37,3.1,1052,d
37,3.1,1132.5,EE
38,3.1,740.5,e
38,3.1,734.5,d
38,3.1,796.5,EE
39,3.1,1012.5,e
39,3.1,1045,d
39,3.1,2286,EE
40,3.1,1086,e
40,3.1,1417,d
40,3.1,1286.5,EE
41,3.1,814.5,e
41,3.1,778.5,d
41,3.1,799.5,EE
42,3.1,972,e
42,3.1,1108,d
42,3.1,841,EE
43,3.1,1149.5,e
43,3.1,1192.5,d
43,3.1,1449,EE
44,3.1,2207,e
44,3.1,1961,d
44,3.1,2338.5,EE
45,3.1,930,e
45,3.1,757,d
45,3.1,831,EE
46,3.1,1692,e
46,3.1,1516,d
46,3.1,1236.5,EE
47,3.1,1546.5,e
47,3.1,1693,d
47,3.1,1744,EE
48,3.1,2199,e
48,3.1,1995,d
48,3.1,3338,EE
49,3.1,1569.5,e
49,3.1,1565.5,d
49,3.1,2792,EE
50,3.1,1355,e
50,3.1,1152,d
50,3.1,849.5,EE
51,3.1,1279,e
51,3.1,816,d
51,3.1,841,EE
52,3.1,1630.5,e
52,3.1,1294.5,d
52,3.1,1584,EE
53,3.1,1009,e
53,3.1,896,d
53,3.1,999,EE
54,3.1,784,e
54,3.1,829,d
54,3.1,756.5,EE
55,3.1,1894,e
55,3.1,1704,d
55,3.1,2125,EE
56,3.1,891.5,e
56,3.1,791.5,d
56,3.1,801,EE
57,3.1,1092,e
57,3.1,1040,d
57,3.1,1048.5,EE
58,3.1,1432,e
58,3.1,1087,d
58,3.1,991.5,EE
59,3.1,1349,e
59,3.1,1404.5,d
59,3.1,1316.5,EE
60,3.1,1505,e
60,3.1,1173,d
60,3.1,1226.5,EE
61,3.1,1670,e
61,3.1,1261,d
61,3.1,1238,EE
62,3.1,1047,e
62,3.1,1071,d
62,3.1,1458.5,EE
63,3.1,1997,e
63,3.1,1457,d
63,3.1,2612.5,EE
64,3.1,802,e
64,3.1,874,d
