subject,exp_num,slope,modality
1,1,0.448320245896517,LE
2,1,0.81408143405343,LE
3,1,1.17384641061522,LE
4,1,0.621116882256719,LE
5,1,0.692362281740368,LE
6,1,0.537578026288873,LE
7,1,0.639556028819577,LE
8,1,1.08943917592819,LE
9,1,1.05902412306672,LE
10,1,1.32639504130459,LE
11,1,0.683926947303346,LE
12,1,0.237819583195709,LE
13,1,0.587189741919411,LE
14,1,1.07774573274624,LE
15,1,0.999388797540673,LE
16,1,1.00593715491406,LE
17,1,0.834551720079319,LE
18,1,0.569192926708453,LE
19,1,0.238732033138823,LE
20,1,1.07144694071401,LE
21,1,1.32165251336976,LE
22,1,0.805897142702011,LE
23,1,0.944882219652623,LE
24,1,0.944330531089107,LE
25,1,1.07099194081603,LE
26,1,0.967600971711786,LE
27,1,0.687033841173606,LE
28,1,0.372691553374034,LE
29,1,0.956967373036036,LE
30,1,1.04678369462967,LE
31,1,0.838402598516602,LE
32,1,0.820819865457282,LE
1,1,0.592570106722793,ES
2,1,0.233438035570617,ES
3,1,0.786733162743168,ES
4,1,0.207776186756902,ES
5,1,0.450268379312137,ES
6,1,0.820886263005165,ES
7,1,1.04978522782675,ES
8,1,-0.0333785517993422,ES
9,1,0.267884500390591,ES
10,1,-3.29994793671944e-07,ES
11,1,-0.0164164263995729,ES
12,1,0.0666202253031924,ES
13,1,-0.000270084128468922,ES
14,1,-0.0999446086381244,ES
15,1,0.0503161788042852,ES
16,1,0.150003370106009,ES
17,1,0.763127181478762,ES
18,1,0.283913831642519,ES
19,1,0.180825934308683,ES
20,1,0.706167691505239,ES
21,1,0.383386554795958,ES
22,1,0.0333377479184409,ES
23,1,-0.120428286705666,ES
24,1,0.433441084029618,ES
25,1,0.367868393439931,ES
26,1,0.884657519906294,ES
27,1,0.484262156240943,ES
28,1,-0.0333353343854228,ES
29,1,0.0500273415368364,ES
30,1,-0.066023638648072,ES
31,1,0.910474341470602,ES
32,1,0.296531549452375,ES
1,1,0.938192178302171,EE
2,1,-0.00928189590915056,EE
3,1,0.72801163819782,EE
4,1,0.543823210926846,EE
5,1,0.735520175600991,EE
6,1,0.793133614196136,EE
7,1,0.818795936629451,EE
8,1,0.599137486410523,EE
9,1,0.563082181216372,EE
10,1,0.152743680932884,EE
11,1,0.560099451633616,EE
12,1,-0.353909383626801,EE
13,1,0.466425850181928,EE
14,1,0.277101407614999,EE
15,1,-0.0693609495627494,EE
16,1,0.783003820021271,EE
17,1,0.825159923065148,EE
18,1,0.616109045696021,EE
19,1,0.869347306964212,EE
20,1,0.954560933734066,EE
21,1,0.656936377195878,EE
22,1,0.308450855832588,EE
23,1,-0.884293282005685,EE
24,1,0.959200949936578,EE
25,1,0.638481338578025,EE
26,1,1.25313308075221,EE
27,1,0.904770845933345,EE
28,1,0.20569521366501,EE
29,1,-0.193426847640222,EE
30,1,0.786165560273008,EE
31,1,1.05895084733498,EE
32,1,0.400603680292736,EE
1,1,0.766666666666666,SP
2,1,9.17306727455841e-17,SP
3,1,1.01666666666667,SP
4,1,0.716666666666666,SP
5,1,0.808333333333333,SP
6,1,0.949999999999999,SP
7,1,1.2,SP
8,1,0.475,SP
9,1,0.0500000000000002,SP
10,1,0.0916666666666667,SP
11,1,-0.116666666666667,SP
12,1,0.1,SP
13,1,0.35,SP
14,1,0.15,SP
15,1,-0.649999999999999,SP
16,1,0.366666666666666,SP
17,1,0.775,SP
18,1,0.366666666666667,SP
19,1,0.283333333333333,SP
20,1,0.883333333333333,SP
21,1,0.583333333333333,SP
22,1,0.158333333333333,SP
23,1,9.17306727455841e-17,SP
24,1,0.85,SP
25,1,0.583333333333333,SP
26,1,1.13333333333333,SP
27,1,0.858333333333333,SP
28,1,0.641666666666666,SP
29,1,0.116666666666667,SP
30,1,0.791666666666666,SP
31,1,1.08333333333333,SP
32,1,0.516666666666667,SP
33,2,0.245982549672511,LE
34,2,0.839084590458669,LE
35,2,0.939531538038757,LE
36,2,0.507880176380902,LE
37,2,0.733214382485232,LE
38,2,0.977019075459619,LE
39,2,0.50589468147402,LE
40,2,0.684085131248518,LE
41,2,0.430238676202413,LE
42,2,1.23013170042353,LE
43,2,0.741066797161039,LE
44,2,0.766882323233256,LE
45,2,1.14589610615018,LE
46,2,0.938861670169753,LE
47,2,0.788945639281613,LE
48,2,0.206462383709104,LE
49,2,0.687523549150608,LE
50,2,1.10923082398761,LE
51,2,0.703562154270127,LE
52,2,1.09143971450431,LE
53,2,1.33629342443622,LE
54,2,0.732092773645721,LE
55,2,0.635481832791017,LE
56,2,0.661022385634235,LE
57,2,0.348490205454422,LE
58,2,0.74748392834289,LE
59,2,1.03183587463934,LE
60,2,0.849518761064819,LE
61,2,1.15959840657372,LE
62,2,0.541240699494832,LE
63,2,0.543724258881074,LE
64,2,0.392461598041989,LE
33,2,0.668475965939531,ES
34,2,0.0333353388415177,ES
35,2,0.640127724453556,ES
36,2,0.284312142094236,ES
37,2,0.534535329910624,ES
38,2,0.874193299848682,ES
39,2,0.792418666116257,ES
40,2,0.249441552883344,ES
41,2,-0.0503987368955706,ES
42,2,-3.29994793671944e-07,ES
43,2,1.42432038260536e-08,ES
44,2,-0.116666666083202,ES
45,2,0.249543780821904,ES
46,2,0.383625799898406,ES
47,2,-0.240942928816769,ES
48,2,0.419504684438003,ES
49,2,0.500011033128611,ES
50,2,0.582852684010389,ES
51,2,0.0166686220015721,ES
52,2,0.700081131393527,ES
53,2,0.700195281260934,ES
54,2,0.238233519762118,ES
55,2,0.0363997769096756,ES
56,2,0.216737708162951,ES
57,2,0.467467275918667,ES
58,2,0.48635155292334,ES
59,2,0.133384389157746,ES
60,2,0.183333393655589,ES
61,2,0.518882269714794,ES
62,2,0.283403579637412,ES
63,2,0.802487604683617,ES
64,2,0.235520818954968,ES
33,2,0.976780703656272,EE
34,2,0.868990092933863,EE
35,2,0.883670153131981,EE
36,2,0.756358474687587,EE
37,2,1.02477749471053,EE
38,2,0.806983214123955,EE
39,2,1.12215078745191,EE
40,2,0.866108166694254,EE
41,2,0.891580580615747,EE
42,2,-0.0481429737945588,EE
43,2,-0.0543560496398899,EE
44,2,0.82303706015675,EE
45,2,0.974628298434379,EE
46,2,0.917221063606448,EE
47,2,-0.275196088485313,EE
48,2,0.99475420024433,EE
49,2,0.74818663475482,EE
50,2,0.864085383766823,EE
51,2,0.205878338944274,EE
52,2,0.567817625670864,EE
53,2,0.75289003018169,EE
54,2,0.832563276092004,EE
55,2,-0.387587223156971,EE
56,2,0.912213702628686,EE
57,2,0.83247501735831,EE
58,2,1.00101719848845,EE
59,2,0.507527673956013,EE
60,2,0.239552333205857,EE
61,2,0.900445378951687,EE
62,2,1.10907701161117,EE
63,2,0.931158148879615,EE
64,2,0.705586899952247,EE
33,2,1,SP
34,2,9.17306727455841e-17,SP
35,2,0.924999999999999,SP
36,2,0.733333333333333,SP
37,2,0.575,SP
38,2,1.1,SP
39,2,1.01666666666667,SP
40,2,0.766666666666666,SP
41,2,-0.133333333333333,SP
42,2,0.0249999999999999,SP
43,2,0.108333333333333,SP
44,2,0.258333333333333,SP
45,2,0.608333333333333,SP
46,2,-0.0416666666666665,SP
47,2,0.25,SP
48,2,0.933333333333333,SP
49,2,0.75,SP
50,2,0.874999999999999,SP
51,2,-0.141666666666666,SP
52,2,0.808333333333333,SP
53,2,0.583333333333333,SP
54,2,0.508333333333333,SP
55,2,9.17306727455841e-17,SP
56,2,0.408333333333333,SP
57,2,0.608333333333333,SP
58,2,0.916666666666666,SP
59,2,0.4,SP
60,2,0.0249999999999999,SP
61,2,0.566666666666666,SP
62,2,0.575,SP
63,2,0.833333333333333,SP
64,2,0.733333333333333,SP
